ID_PRODUCT,PROTITLE,PRODESCRIPTION,PRORELEASEDATE,PROPRICE,PRODISCOUNT,PROREWARDPERCENTAGE,PROREFUNDABLE
123,Sharable dynamic customer loyalty - Sports Game,How down offer moment however history anything floor. Keep serve artist defense. Support back at probably Democrat baby threat. Decide thank red who travel.,2021-04-22,26.47,0.0,,True
124,Synchronized bi-directional strategy - Action Game,Blue change very certainly stage base. Real decide already information sometimes. Police family because president security table environmental.,2021-11-27,6.09,0.0,5,False
125,Reactive methodical emulation - Shooter Game,Third film type degree share common. Without image record like hour.,2019-02-13,63.1,0.0,10,True
126,Grass-roots reciprocal extranet - Simulation Game,Road on some draw hotel. Water identify apply special thing specific put organization.,2017-01-10,66.14,0.0,15,True
127,Polarized demand-driven product - Shooter Game,Old remain have according take analysis. Save group from ground throw. Create large him girl color box subject.,2022-02-15,61.19,0.07,,True
128,Business-focused hybrid throughput - Fighting Game,Create keep organization station eye easy by. Hair sign show these party direction. Piece everybody city window industry book.,2017-09-16,60.69,0.12,10,True
129,User-centric foreground circuit - Horror Game,Seven produce total role someone these near. Teach which produce. Mean she need cover ask generation.,2021-12-22,24.08,0.0,5,True
130,Versatile upward-trending complexity - MMORPG Game,Enter whose TV example.,2020-12-05,68.79,0.0,15,True
131,Synergized analyzing framework - Casual Game,Strong still never worker audience.,2023-08-30,47.16,0.0,,True
132,Business-focused global firmware - MMORPG Game,Success attack page teacher rich stand. Fine item word hand tax need book.,2019-04-14,59.78,0.0,,True
133,Reduced well-modulated approach - Adventure Game,Security who kitchen look.,2020-06-29,10.41,0.0,,True
134,Digitized directional moratorium - Adventure Game,Receive head front agency. Chance including music see specific goal.,2023-01-16,12.8,0.0,5,False
135,Mandatory radical attitude - MMORPG Game,Tough answer science finish. You be investment speak position certainly position picture. Table street before give yourself or.,2023-06-29,39.14,0.0,5,True
136,Compatible client-server capacity - Casual Game,If build commercial work. Employee meet respond will item act forward. Possible will month every might.,2024-03-01,13.68,0.0,5,True
137,Optional client-server instruction set - Horror Game,Picture left call move seven six. Contain method serve guess heart few administration happy. Land democratic factor.,2015-08-21,58.25,0.0,15,True
138,Face-to-face stable protocol - Simulation Game,Recognize piece nature story artist some. Travel operation rich there five. Past stage specific everybody ok let star.,2022-09-09,11.85,0.0,,True
139,Public-key actuating flexibility - Strategy Game,Second war so nearly opportunity color rate. Single animal suffer receive environmental wide. Responsibility factor cold own.,2020-04-29,33.78,0.29,,True
140,Reactive interactive neural-net - Casual Game,Window evidence market parent. Quite again public billion move recent. Group fear section least full.,2018-08-12,38.8,0.0,,True
141,Assimilated solution-oriented superstructure - Simulation Game,Onto discover operation state. Middle computer glass at.,2023-12-18,63.54,0.37,5,False
142,Cross-platform logistical task-force - Casual Game,Wife know admit drive standard. Common child result amount involve style chair. Something friend college blood.,2022-06-23,35.98,0.0,,True
143,Triple-buffered incremental encryption - Racing Game,Section officer work whose. Window citizen bed son through.,2023-05-16,20.08,0.07,20,False
144,Polarized fresh-thinking Internet solution - Horror Game,Food pick threat respond camera either.,2020-09-25,27.92,0.0,20,False
145,Automated context-sensitive definition - Sports Game,Where thought season weight. Two exist suggest pressure property where. Of middle right always must.,2023-04-02,48.62,0.0,10,True
146,Quality-focused optimizing moratorium - MMORPG Game,Fire she ever discover into rest health structure. Born central others coach city. Bill position program already summer open lay.,2017-11-13,11.91,0.0,5,False
147,Reverse-engineered reciprocal flexibility - Casual Game,Character increase discussion that scene. Mouth off response billion arrive painting third. Foreign media realize member sit modern culture.,2020-06-07,36.88,0.0,5,False
148,Cross-platform bottom-line core - Strategy Game,Produce both make save whatever.,2025-02-19,13.77,0.0,10,True
149,Realigned 4thgeneration software - Sports Game,About whatever city responsibility performance. World far source wide organization exist.,2023-06-07,14.26,0.0,10,True
150,Versatile high-level open architecture - Casual Game,Almost during success different human. Western tough teach. Body tough civil.,2018-04-27,21.41,0.0,15,True
151,Balanced coherent flexibility - Sports Game,Determine agent rock local language quality executive. Near source once growth. Section skill live some opportunity.,2015-10-10,26.23,0.55,10,False
152,Total web-enabled Local Area Network - MMORPG Game,Reflect magazine space generation. High response information thought fund.,2023-06-16,53.76,0.0,0,False
153,Assimilated optimizing infrastructure - Indie Game,Up house wear ok thing size compare. History source movie long design. Memory well group employee.,2022-10-02,23.68,0.0,,False
154,Front-line zero administration focus group - MMORPG Game,Economic project happen one attorney anyone. Every compare scientist bring top present. Last admit manage player agent.,2021-07-07,41.8,0.0,,False
155,Adaptive neutral function - Platformer Game,Point establish over court figure. Town picture religious population.,2021-01-16,11.0,0.42,,True
156,Operative attitude-oriented throughput - Strategy Game,Especially reality him fact. Likely company down enter hear yeah. Religious assume happy step government summer. Behind real vote everything surface middle already.,2019-10-01,11.05,0.0,,True
157,Open-architected analyzing structure - Fighting Game,Soon development finally week.,2021-01-09,11.48,0.46,,True
158,Centralized asynchronous capacity - Shooter Game,Check than friend. Go win now issue remember plan lead.,2018-09-23,6.72,0.0,,False
159,Re-contextualized cohesive knowledgebase - Casual Game,Least star have stage rock.,2020-07-12,46.28,0.0,,True
160,Innovative executive firmware - Strategy Game,Dinner federal tonight door. Six art individual face in. Under attorney hit base tree.,2025-04-09,33.19,0.0,15,False
161,Re-engineered stable emulation - Sports Game,Pretty get easy court you place. Long happen drug meet yeah create out understand. If happen church fall economy public.,2016-07-11,50.43,0.07,15,False
162,Open-source web-enabled standardization - Casual Game,Stop space spend election social source tree. Discover because leader top let sport.,2015-09-06,48.61,0.36,,False
163,Profit-focused attitude-oriented intranet - Indie Game,Congress shake young hard. Hear term memory together we.,2018-11-01,9.59,0.0,0,False
164,Programmable impactful superstructure - Casual Game,Age color mind hour community hold. Myself truth leader trial.,2015-09-06,10.53,0.0,,False
165,Total secondary ability - Shooter Game,Century range even six end rather service term. Go meeting career join.,2021-03-07,67.88,0.0,20,False
166,Profit-focused holistic portal - Casual Game,Treat hope when third follow responsibility better. Player summer often each gun.,2015-08-25,39.35,0.23,0,True
167,Re-contextualized directional encoding - Puzzle Game,These certainly though indicate pull. Professor yet popular. Because seven drug.,2021-12-27,68.27,0.0,,False
168,Realigned didactic concept - Puzzle Game,Along eat develop tell. Cold only new ago one employee final industry. Minute heart box nothing everybody.,2024-04-09,51.04,0.0,,False
169,Cross-platform mission-critical synergy - Sports Game,Pattern almost Mrs only father. Address threat window agree people according one. Claim economic face stop of. Responsibility receive role question detail result can garden.,2020-09-24,62.29,0.58,20,True
170,Object-based bifurcated firmware - Action Game,Nor focus put feel a. Individual help scene summer especially serve include. Machine grow stage right determine.,2021-01-07,14.1,0.26,5,False
171,Compatible logistical software - RPG Game,Yeah blood cup. Exist ok economic record.,2022-05-06,43.33,0.24,,False
172,Stand-alone 4thgeneration definition - MMORPG Game,Partner here military very raise check. Grow blood away once sell well teach thus. Collection bar read they similar suggest. Science how well than environmental.,2019-03-19,5.33,0.0,,False
173,Visionary reciprocal support - Adventure Game,Read difference month three benefit foot. Study speak democratic have direction role tell.,2020-09-04,11.95,0.67,10,False
174,User-friendly 5thgeneration software - Shooter Game,Lose because station cell policy answer trip. Produce world service team. Step off official number.,2020-03-01,10.28,0.0,15,False
175,Cross-platform bottom-line hub - Casual Game,Million take wife door. Herself bank rise foot defense nice significant particular.,2022-01-18,61.81,0.0,15,True
176,Future-proofed disintermediate help-desk - Indie Game,Mention green decide doctor system coach. Dream citizen piece thought city central identify. Candidate without only successful. Own ball meet question including tax stuff.,2019-12-05,34.25,0.0,0,False
177,Enhanced eco-centric initiative - Casual Game,Television show than TV girl begin because. Eye second claim have rock. Mother special vote somebody main each process.,2017-02-06,43.69,0.0,,True
178,Robust hybrid paradigm - Sports Game,What event force politics doctor.,2020-07-17,66.57,0.0,0,False
179,Ergonomic systemic knowledgebase - Strategy Game,Sure sing local us science. Policy under happy we blue where cover agency. Themselves white shake bank police have. Little across you film take wear.,2021-02-15,52.21,0.0,15,True
180,Inverse stable open architecture - Casual Game,Prepare fact doctor development wish above. Clear son apply country direction. Allow own safe technology already through.,2020-05-16,68.91,0.32,10,True
181,Automated explicit array - RPG Game,Receive field whose. Range subject send explain opportunity.,2018-06-08,14.54,0.64,,False
182,Assimilated intermediate leverage - Strategy Game,Ok anyone not likely. Though ago good.,2015-08-25,37.3,0.0,,False
183,Sharable stable strategy - Puzzle Game,Which voice everyone section across letter. Also research certainly before detail add young. Science agreement manage season age study staff matter.,2017-06-14,34.2,0.0,15,True
184,Automated real-time parallelism - MMORPG Game,Scene would miss star like.,2021-05-13,52.03,0.0,15,True
185,Digitized systematic definition - Puzzle Game,Stop nature economic stand also authority about. Respond chair herself statement. Boy better similar major.,2019-03-25,26.98,0.0,,True
186,Mandatory disintermediate support - Shooter Game,Positive relationship military help very apply soldier. Military realize design difficult town give kind.,2023-11-02,5.32,0.0,15,False
187,Optimized 24/7 functionalities - Horror Game,Job who action use scientist wide environmental simple. Finish benefit indicate always. Skin degree morning more success ahead especially.,2022-01-26,51.42,0.0,10,True
188,Fundamental foreground process improvement - Fighting Game,Land consider body explain watch. Indicate difference fund third role.,2024-03-13,62.0,0.0,5,True
189,Synchronized content-based architecture - Sports Game,Design current school street. Project girl itself network yet.,2015-10-18,35.45,0.0,0,True
190,Synergistic national service-desk - Fighting Game,Forward nice plant impact. Theory direction upon here wide left. Indeed forward industry action time these wind plan.,2015-12-23,62.06,0.0,0,False
191,Persevering content-based neural-net - Shooter Game,Toward color few statement pay ten. Step force difficult trip beat want.,2021-10-31,66.88,0.61,20,False
192,Grass-roots content-based conglomeration - Racing Game,Miss gas marriage off person or. Worry cell situation interview eat painting approach identify. Message kind worker look step.,2016-03-19,9.17,0.39,,False
193,Cross-platform fault-tolerant parallelism - Strategy Game,Station religious including resource. Three travel movie.,2016-07-15,49.1,0.0,20,True
194,Horizontal mission-critical Graphic Interface - Racing Game,Health agree all rock purpose must law. Ability popular situation recognize.,2016-04-25,25.05,0.48,20,True
195,Up-sized neutral methodology - MMORPG Game,Well college mind himself especially despite month. Something least guy international become wrong remember behavior.,2019-12-08,65.3,0.0,20,False
196,Centralized maximized superstructure - Horror Game,Religious professional build evidence lose the involve none. Network can house. Pull hundred quickly and while let above.,2025-04-07,37.47,0.0,5,True
197,Devolved background secured line - Shooter Game,Send perhaps fear military. Word Congress Republican goal. Imagine store common what.,2020-03-16,34.06,0.0,5,True
198,Operative real-time knowledgebase - Puzzle Game,Draw me continue week. Free husband mission among beyond.,2025-04-29,8.32,0.14,5,True
199,Right-sized exuding knowledgebase - Indie Game,These country within simple environment. View though push system easy contain.,2017-03-05,69.11,0.0,20,True
200,Integrated composite process improvement - RPG Game,Issue poor international hotel. Choose might land first speech interest. Just in start two name girl long.,2017-03-17,33.28,0.0,,False
201,Ergonomic local structure - Horror Game,Watch manager such food. Assume environmental firm foreign price example scientist.,2024-10-21,17.16,0.0,20,False
202,Balanced dynamic encoding - Strategy Game,Quickly during drive degree.,2022-11-05,32.82,0.0,,True
203,Ergonomic intangible workforce - Simulation Game,Fund certainly necessary be trial compare leader. Threat responsibility consumer image raise green.,2016-01-22,8.38,0.0,,True
204,Profit-focused eco-centric hierarchy - Sports Game,Beat PM method member question gun pick not. Resource and sing them central girl. Region consumer citizen. Piece school themselves might help.,2024-07-10,61.25,0.0,20,True
